Step,Action,Price,Cash,BTC,BTC_Value,Total
246,1,58515.00,74227.22,16,936239.94,1010467.16
247,-1,58550.00,1947825.79,-16,-936799.94,1011025.85
248,1,58562.45,73826.22,16,936999.12,1010825.35
249,1,58561.66,73826.22,16,936986.62,1010812.85
250,1,58519.09,73826.22,16,936305.38,1010131.60
251,1,58503.50,73826.22,16,936056.06,1009882.29
252,1,58514.25,73826.22,16,936227.94,1010054.16
253,1,58505.05,73826.22,16,936080.75,1009906.97
254,1,58519.57,73826.22,16,936313.19,1010139.41
255,1,58547.70,73826.22,16,936763.25,1010589.47
256,1,58542.27,73826.22,16,936676.38,1010502.60
257,1,58558.43,73826.22,16,936934.88,1010761.10
258,1,58560.00,73826.22,16,936959.94,1010786.16
259,1,58559.38,73826.22,16,936950.06,1010776.29
260,1,58584.75,73826.22,16,937356.06,1011182.29
261,1,58583.66,73826.22,16,937338.50,1011164.72
262,1,58590.36,73826.22,16,937445.75,1011271.97
263,1,58552.79,73826.22,16,936844.56,1010670.79
264,1,58523.34,73826.22,16,936373.38,1010199.60
265,1,58500.00,73826.22,16,935999.94,1009826.16
266,1,58486.25,73826.22,16,935779.94,1009606.16
267,1,58464.65,73826.22,16,935434.38,1009260.60
268,1,58470.00,73826.22,16,935519.94,1009346.16
269,1,58491.32,73826.22,16,935861.19,1009687.41
270,1,58507.96,73826.22,16,936127.44,1009953.66
271,1,58507.96,73826.22,16,936127.44,1009953.66
272,1,58515.16,73826.22,16,936242.62,1010068.85
273,1,58502.82,73826.22,16,936045.19,1009871.41
274,1,58501.16,73826.22,16,936018.62,1009844.85
275,1,58510.00,73826.22,16,936159.94,1009986.16
276,1,58503.05,73826.22,16,936048.75,1009874.97
277,1,58503.05,73826.22,16,936048.75,1009874.97
278,1,58503.05,73826.22,16,936048.75,1009874.97
279,1,58481.50,73826.22,16,935704.06,1009530.29
280,1,58485.00,73826.22,16,935759.94,1009586.16
281,1,58472.62,73826.22,16,935562.00,1009388.22
282,1,58485.00,73826.22,16,935759.94,1009586.16
283,1,58463.39,73826.22,16,935414.19,1009240.41
284,1,58448.93,73826.22,16,935182.81,1009009.04
285,1,58436.39,73826.22,16,934982.19,1008808.41
